id	uf	municipio	total	quantidade	percentual
2969	PE	NAZARE DA MATA	1244	249	75.80
2970	PE	OLINDA	15735	5392	60.01
2971	PE	OROBO	653	255	58.19
2972	PE	OROCO	317	55	77.60
2973	PE	OURICURI	1152	384	61.98
2974	PE	PALMARES	1311	401	63.69
2975	PE	PALMEIRINA	167	65	58.08
2976	PE	PANELAS	598	179	65.22
2977	PE	PARANATAMA	284	94	60.56
2978	PE	PARNAMIRIM	455	230	47.47
2979	PE	PASSIRA	781	337	54.67
2980	PE	PAUDALHO	1698	480	67.43
2981	PE	PAULISTA	12525	4038	60.46
2982	PE	PEDRA	322	111	63.04
2983	PE	PESQUEIRA	2223	840	57.89
2984	PE	PETROLANDIA	712	182	69.66
2985	PE	PETROLINA	17786	5258	65.05
2986	PE	POCAO	303	113	57.43
2987	PE	POMBOS	461	195	53.80
2988	PE	PRIMAVERA	122	37	62.30
2989	PE	QUIPAPA	572	160	68.01
2990	PE	QUIXABA	191	62	62.30
2991	PE	RECIFE	67278	25057	57.11
2992	PE	RIACHO DAS ALMAS	251	141	42.23
2993	PE	RIBEIRAO	760	299	54.61
2994	PE	RIO FORMOSO	441	125	66.89
2995	PE	SAIRE	255	124	43.92
2996	PE	SALGADINHO	88	38	54.55
2997	PE	SALGUEIRO	2038	546	68.25
2998	PE	SALOA	290	97	59.31
2999	PE	SANHARO	556	202	60.97
3000	PE	SANTA CRUZ	188	85	53.72
3001	PE	SANTA CRUZ DA BAIXA VERDE	470	118	70.64
3002	PE	SANTA CRUZ DO CAPIBARIBE	2527	1081	50.06
3003	PE	SANTA FILOMENA	194	78	57.22
3004	PE	SANTA MARIA DA BOA VISTA	1046	140	81.74
3005	PE	SANTA MARIA DO CAMBUCA	142	84	37.32
3006	PE	SANTA TEREZINHA	297	119	52.53
3007	PE	SAO BENEDITO DO SUL	91	31	63.74
3008	PE	SAO BENTO DO UNA	779	308	56.48
3009	PE	SAO CAITANO	727	293	55.30
3010	PE	SAO JAO	1	0	100.00
3011	PE	SAO JOAO	558	184	61.65
3012	PE	SAO JOAQUIM DO MONTE	373	190	47.45
3013	PE	SAO JOSE DA COROA GRANDE	299	90	65.22
3014	PE	SAO JOSE DO BELMONTE	1157	245	76.58
3015	PE	SAO JOSE DO EGITO	1150	428	58.26
3016	PE	SAO LOURENCO DA MATA	3801	1249	62.85
3017	PE	SAO VICENTE FERRER	325	131	57.85
3018	PE	SERRA TALHADA	3177	1295	54.71
3019	PE	SERRITA	435	130	68.05
3020	PE	SERTANIA	819	297	59.58
3021	PE	SIRINHAEM	498	113	71.29
3022	PE	SOLIDAO	113	71	34.51
3023	PE	SURUBIM	1659	814	45.81
3024	PE	TABIRA	782	363	49.23
3025	PE	TACAIMBO	153	80	38.56
3026	PE	TACARATU	389	78	78.41
3027	PE	TAMANDARE	270	77	66.30
3028	PE	TAQUARITINGA DO NORTE	517	314	34.82
3029	PE	TEREZINHA	168	57	63.69
3030	PE	TERRA NOVA	290	77	72.41
3031	PE	TIMBAUBA	1391	460	62.90
3032	PE	TORITAMA	554	269	45.31
3033	PE	TRACUNHAEM	394	101	71.07
3034	PE	TRINDADE	526	137	67.68
3035	PE	TRIUNFO	878	289	59.57
3036	PE	TUPANATINGA	247	55	74.09
3037	PE	TUPARETAMA	367	134	58.58
3038	PE	VENTUROSA	494	208	52.63
3039	PE	VERDEJANTE	223	37	80.72
3040	PE	VERTENTE DO LERIO	131	73	41.98
3041	PE	VERTENTES	274	125	50.00
3042	PE	VICENCIA	886	359	56.77
3043	PE	VITORIA DE SANTO ANAO	1	0	100.00
3044	PE	VITORIA DE SANTO ANTAO	3615	1247	61.96
3045	PE	XEXEU	205	54	62.93
3046	PI	ACAUA	30	15	46.67
3047	PI	AGRICOLANDIA	136	22	80.88
3048	PI	AGUA BRANCA	516	101	76.16
3049	PI	ALAGOINHA DO PIAUI	70	31	45.71
3050	PI	ALEGRETE DO PIAUI	103	25	71.84
3051	PI	ALTO LONGA	385	75	78.18
3052	PI	ALTOS	1922	123	91.68
3053	PI	ALVORADA DO GURGUEIA	99	7	86.87
3054	PI	AMARANTE	534	49	86.89
3055	PI	ANGICAL DO PIAUI	299	61	74.25
3056	PI	ANISIO DE ABREU	160	39	71.88
3057	PI	ANTONIO ALMEIDA	79	6	86.08
3058	PI	AROAZES	186	33	57.53
3059	PI	AROEIRAS DO ITAIM	35	9	71.43
3060	PI	ARRAIAL	269	36	82.16
3061	PI	ASSUNCAO DO PIAUI	87	30	65.52
3062	PI	AVELINO LOPES	127	17	77.17
3063	PI	BAIXA GRANDE DO RIBEIRO	109	16	77.06
3064	PI	BARRA D ALCANTARA	79	12	78.48
3065	PI	BARRAS	1546	213	82.54
3066	PI	BARREIRAS DO PIAUI	38	4	86.84
3067	PI	BARRO DURO	157	31	77.71
3068	PI	BATALHA	590	57	88.47
3069	PI	BELA VISTA DO PIAUI	76	61	19.74
3070	PI	BELEM DO PIAUI	43	11	74.42
3071	PI	BENEDITINOS	160	27	76.25
3072	PI	BERTOLINIA	216	30	82.41
3073	PI	BETANIA DO PIAUI	44	17	18.18
3074	PI	BOA HORA	165	27	81.82
3075	PI	BOCAINA	135	60	52.59
3076	PI	BOM JESUS	1276	222	75.78
3077	PI	BOM PRINCIPIO DO PIAUI	85	28	61.18
3078	PI	BONFIM DO PIAUI	67	12	79.10
3079	PI	BOQUEIRAO DO PIAUI	125	16	87.20
3080	PI	BRASILEIRA	129	40	66.67
3081	PI	BREJO DO PIAUI	49	10	79.59
3082	PI	BURITI DOS LOPES	693	143	77.20
3083	PI	BURITI DOS MONTES	228	18	87.72
3084	PI	CABECEIRAS DO PIAUI	317	24	89.91
3085	PI	CAJAZEIRAS DO PIAUI	114	3	78.07
3086	PI	CAJUEIRO DA PRAIA	106	37	62.26
3087	PI	CALDEIRAO GRANDE DO PIAUI	52	3	88.46
3088	PI	CAMPINAS DO PIAUI	47	11	65.96
3089	PI	CAMPO ALEGRE DO FIDALGO	38	6	81.58
3090	PI	CAMPO GRANDE DO PIAUI	117	37	66.67
3091	PI	CAMPO LARGO DO PIAUI	78	5	91.03
3092	PI	CAMPO MAIOR	2582	342	85.52
3093	PI	CAMPO MIOR	1	0	100.00
3094	PI	CANAVIEIRA	33	0	90.91
3095	PI	CANTO DO BURITI	475	111	73.68
3096	PI	CANTO DO BURTI	1	0	100.00
3097	PI	CAPITAO DE CAMPOS	570	102	79.30
3098	PI	CAPITAO GERVASIO OLIVEIRA	32	12	62.50
3099	PI	CARACOL	125	45	57.60
3100	PI	CARAUBAS DO PIAUI	39	9	74.36
3101	PI	CARIDADE DO PIAUI	59	21	62.71
3102	PI	CASTELO DO PIAUI	496	66	82.46
3103	PI	CAXINGO	79	14	75.95
3104	PI	COCAL	315	125	56.19
3105	PI	COCAL DE TELHA	115	12	86.96
3106	PI	COCAL DOS ALVES	56	18	67.86
3107	PI	COIVARAS	140	9	92.14
3108	PI	COLONIA DO GURGUEIA	210	28	75.24
3109	PI	COLONIA DO PIAUI	208	10	93.27
3110	PI	CONCEICAO DO CANINDE	118	33	63.56
3111	PI	CORONEL JOSE DIAS	52	17	67.31
3112	PI	CORRENTE	1334	223	76.24
3113	PI	CRISTALANDIA DO PIAUI	138	11	81.88
3114	PI	CRISTINO CASTRO	277	45	81.23
3115	PI	CURIMATA	212	39	78.77
3116	PI	CURRAIS	41	5	85.37
3117	PI	CURRAL NOVO DO PIAUI	4	0	50.00
3118	PI	CURRALINHOS	46	3	91.30
3119	PI	DEMERVAL LOBAO	488	56	82.38
3120	PI	DIRCEU ARCOVERDE	86	41	50.00
3121	PI	DOM EXPEDITO LOPES	363	156	50.69
3122	PI	DOM INOCENCIO	92	36	32.61
3123	PI	DOMINGOS MOURAO	86	29	62.79
3124	PI	ELESBAO VELOSO	322	43	81.99
3125	PI	ELISEU MARTINS	150	28	79.33
3126	PI	ESPERANTINA	810	189	72.35
3127	PI	FARTURA DO PIAUI	66	10	72.73
3128	PI	FLORES DO PIAUI	45	2	93.33
3129	PI	FLORESTA DO PIAUI	69	9	82.61
3130	PI	FLORIANO	5098	786	78.74
3131	PI	FLORIAO	1	0	100.00
3132	PI	FRANCINOPOLIS	57	4	82.46
3133	PI	FRANCISCO AYRES	103	3	83.50
